"","ID","region","MAT","MAP","ANPP"
"592",1013,"EMDI",2.8,701,7.578947368
"593",1014,"EMDI",2.8,379,8.842105263
"594",1015,"EMDI",2.8,698,6.210526316
"595",1016,"EMDI",2.8,699,9.894736842
"596",1017,"EMDI",2.8,695,8.631578947
"597",1018,"EMDI",2.8,696,8.842105263
"598",1019,"EMDI",2.8,694,7.578947368
"599",1020,"EMDI",2.9,709,5.473684211
"600",1021,"EMDI",2.9,708,8.210526316
"601",1022,"EMDI",3,713,8.210526316
"602",1023,"EMDI",3,712,3.157894737
"603",1024,"EMDI",3,712,6.947368421
"604",1025,"EMDI",3,710,6.947368421
"605",1026,"EMDI",1.7,475,4
"606",1027,"EMDI",3.7,563,8.210526316
"607",1028,"EMDI",3.7,691,12.42105263
"608",1029,"EMDI",4.5,838,6.315789474
"609",1030,"EMDI",4.6,799,8.842105263
"610",1031,"EMDI",4.6,814,9.136842105
"611",1032,"EMDI",4.7,1278,9.473684211
"612",1033,"EMDI",4.7,800,8.842105263
"613",1034,"EMDI",4.7,835,6
"614",1035,"EMDI",4.9,858,7.305263158
"615",1036,"EMDI",4.9,1836,7.978947368
"616",1037,"EMDI",5.2,579,7.789473684
"617",1038,"EMDI",5.3,551,8
"618",1039,"EMDI",5.4,662,3.263157895
"619",1040,"EMDI",5.4,1135,4
"620",1041,"EMDI",5.5,536,6.210526316
"621",1042,"EMDI",5.5,560,7.157894737
"622",1043,"EMDI",5.7,1163,8.315789474
"623",1044,"EMDI",5.7,1156,6.252631579
"624",1045,"EMDI",5.7,1131,14.52631579
"625",1046,"EMDI",5.9,1192,9.536842105
"626",1047,"EMDI",6,628,9.684210526
"627",1048,"EMDI",6.1,778,6.315789474
"628",1049,"EMDI",6.2,752,7.010526316
"629",1050,"EMDI",6.7,748,7.157894737
"630",1051,"EMDI",6.7,718,10.52631579
"631",1052,"EMDI",6.8,907,10.10526316
"632",1053,"EMDI",7,819,7.368421053
"633",1054,"EMDI",7.1,649,16.63157895
"634",1055,"EMDI",7.5,1093,11.22105263
"635",1056,"EMDI",7.5,1091,6.526315789
"636",1057,"EMDI",7.7,1096,8.421052632
"637",1058,"EMDI",7.7,641,8.631578947
"638",1059,"EMDI",7.7,904,12.21052632
"639",1060,"EMDI",7.7,838,6.947368421
"640",1061,"EMDI",7.8,1103,8.421052632
"641",1062,"EMDI",7.8,873,12.42105263
"642",1063,"EMDI",7.8,596,9.831578947
"643",1064,"EMDI",7.9,984,10.73684211
"644",1065,"EMDI",7.9,576,14.94736842
"645",1066,"EMDI",7.9,815,8.210526316
"646",1067,"EMDI",8,1127,9.052631579
"647",1068,"EMDI",8,1107,10.94736842
"648",1069,"EMDI",8,1089,8.631578947
"649",1070,"EMDI",8,985,14.10526316
"650",1071,"EMDI",8,630,7.368421053
"651",1072,"EMDI",8.2,810,7.221052632
"652",1073,"EMDI",8.3,641,10.10526316
"653",1074,"EMDI",8.4,628,10.10526316
"654",1075,"EMDI",8.4,921,10.52631579
"655",1076,"EMDI",8.5,930,10.73684211
"656",1077,"EMDI",8.5,947,12.21052632
"657",1078,"EMDI",8.5,890,6.947368421
"658",1079,"EMDI",8.5,893,14.31578947
"659",1080,"EMDI",8.6,988,12.84210526
"660",1081,"EMDI",8.6,940,12.10526316
"661",1082,"EMDI",8.9,638,2.736842105
"662",1083,"EMDI",9,898,15.78947368
"663",1084,"EMDI",9,644,7.157894737
"664",1085,"EMDI",9.3,602,8.631578947
"665",1086,"EMDI",9.3,829,10.10526316
"666",1087,"EMDI",9.3,1264,9.894736842
"667",1088,"EMDI",9.3,1297,9.894736842
"668",1089,"EMDI",9.4,560,17.89473684
"669",1090,"EMDI",9.6,548,7.305263158
"670",1091,"EMDI",9.7,802,8.105263158
"671",1092,"EMDI",9.7,776,11.15789474
